species,genus,subfamily,family,order,class_taxon,super_class,ocean,basin,food_i,food_mode,temp_preferred,temp_range,climate,fecundity_mean,body_shape_i,longevity_wild,oxygen_cons,temp_cons,dev_place,sp_richness,comments,circadian,observed_homerange,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,iucn_category,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3
Ablennes hians,Ablennes,NA,Belonidae,Beloniformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,nekton,specialist,27,NA,tropical,NA,elongated,NA,NA,NA,planktonic,47,NA,NA,NA,NA,10402500,habitat_coastal,reef-associated,140,NA,38.09834531,0.580917618,4.482012652,LC,0.136153315,29.97405829,NA,0.136153315,29.97405829,-1,1,4,4,mid/low
Acanthistius brasilianus,Acanthistius,Anthiadinae,Serranidae,Perciformes/Serranoidei,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos",generalist,15,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,577,NA,NA,NA,NA,772500,habitat_benthic,benthopelagic,60,NA,43325.50972,0.392822614,4.024307256,DD,0.08495624,53.1847708,NA,0.08495624,53.1847708,-2,2,1,8,mid-low/mid
Acanthocybium solandri,Acanthocybium,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, plants, zoobenthos",generalist,27,NA,tropical,NA,elongated,NA,NA,NA,planktonic,54,NA,NA,NA,NA,193442500,pelagic oceanic,pelagic oceanic,250,NA,23280.69491,0.522684226,4.26,LC,26979.85289,42.09190101,NA,26979.85289,42.09190101,4,2,6,2,high/mid
Acanthopagrus berda,Acanthopagrus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean",Both,"nekton, zoobenthos, zooplankton",generalist,26,NA,tropical,NA,short and / or deep,14,NA,NA,NA,162,NA,NA,NA,NA,6690000,habitat_coastal,demersal,90,NA,141.2034009,0.547748847,3.547920007,LC,0.100096073,30.2054696,NA,0.100096073,30.2054696,-1,2,1,1,mid-high/mid
Acanthopagrus bifasciatus,Acanthopagrus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Indian Ocean, Mediterranean and Black Sea",Both,zoobenthos,specialist,26,NA,tropical,NA,fusiform / normal,19,NA,NA,NA,162,NA,NA,NA,NA,815000,habitat_reef,reef-associated,36.20000076,NA,1089.812244,0.48670769,3.445169816,LC,0.0021762,24.71560293,NA,0.0021762,24.71560293,-3,1,4,4,mid/low
Acanthopagrus latus,Acanthopagrus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,Pacific,West,"nekton, zoobenthos",generalist,27,NA,subtropical,NA,short and / or deep,NA,NA,NA,planktonic,162,NA,NA,0.146,7,4432500,habitat_coastal,demersal,40,yellowfin seabream,3432.653845,0.418755885,3.865511506,DD,0.042968222,30.9686077,33.7,0.146,33.7,-1,2,1,1,mid-high/mid
Acanthopagrus schlegelii,Acanthopagrus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,Pacific,West,"nekton, plants, zoobenthos, zooplankton",generalist,17,NA,subtropical,NA,short and / or deep,NA,197.78571428571428,25,planktonic,162,NA,NA,0.364,5,675000,habitat_coastal,demersal,50,blackhead seabream,2274.073215,0.44458551,3.305055929,NA,0.053968556,29.5194732,NA,0.364,29.5194732,-1,1,4,4,mid/low
Acanthurus sohal,Acanthurus,Acanthurinae,Acanthuridae,Acanthuriformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",West,plants,specialist,26,6,tropical,NA,short and / or deep,NA,NA,NA,NA,84,NA,NA,NA,NA,955000,habitat_reef,reef-associated,40,NA,202.6964938,0.530369312,2.146781041,LC,0.021222514,35.44937462,NA,0.021222514,35.44937462,-2,2,1,8,mid-low/mid
Acipenser transmontanus,Acipenser,Acipenserinae,Acipenseridae,Acipenseriformes,Actinopteri,Osteichthyes,Pacific,Both,"nekton, others, zoobenthos, zooplankton",generalist,16,23.2999992370605,subtropical,975450,elongated,104,63.689,12.5,NA,25,NA,NA,NA,NA,350000,habitat_coastal,demersal,610,NA,3863.42155,0.08634626,3.25,LC,0.914233201,51.78197897,NA,0.914233201,51.78197897,-1,2,1,1,mid-high/mid
Aethaloperca rogaa,Aethaloperca,Epinephelinae,Serranidae,Perciformes/Serranoidei,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,27,NA,tropical,NA,short and / or deep,NA,NA,NA,NA,577,NA,NA,NA,NA,10922500,habitat_reef,reef-associated,60,NA,161.7523983,0.392822614,4.201784858,LC,0.034744312,29.61158528,NA,0.034744312,29.61158528,-2,1,4,4,mid/low
Albula vulpes,Albula,Albulinae,Albulidae,Albuliformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,26,NA,tropical,650000,fusiform / normal,NA,290.5,20.6,planktonic,13,NA,NA,0.65,32,1525000,habitat_lagoon,reef-associated,104,bonefish,847.2094178,0.463332904,3.73,NT,0.14844201,30.63762531,NA,0.65,30.63762531,-1,2,1,1,mid-high/mid
Alepes djedaba,Alepes,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"detritus, nekton, zoobenthos",generalist,27,NA,tropical,NA,fusiform / normal,NA,NA,NA,planktonic,148,NA,NA,NA,NA,8030000,habitat_reef,reef-associated,40,NA,261.8920556,1.017167166,3.379783269,LC,0.021430749,37.50322986,NA,0.021430749,37.50322986,-2,2,1,8,mid-low/mid
Allocyttus niger,Allocyttus,Oreosomatinae,Oreosomatidae,Zeiformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,9,NA,tropical,28500,short and / or deep,100,NA,NA,NA,10,NA,NA,NA,NA,2897500,habitat_deep,bathypelagic,47,NA,53915.20279,0.064718913,3.56660186,NA,0.09562125,57.42709887,NA,0.09562125,57.42709887,-2,2,1,8,mid-low/mid
Allothunnus fallai,Allothunnus,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, others, zoobenthos, zooplankton",generalist,NA,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,54,NA,NA,NA,NA,48347500,pelagic oceanic,pelagic oceanic,105,NA,451.3659255,0.596518223,3.7,LC,1.006909146,30.69430762,NA,1.006909146,30.69430762,0,2,1,1,mid-high/mid
Alosa fallax,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"detritus, nekton, zoobenthos, zooplankton",generalist,16,NA,tropical,62500,fusiform / normal,25,NA,NA,NA,188,NA,NA,NA,NA,2272500,migratory,pelagic neritic,60,NA,40.65587962,0.806181057,4.03,LC,0.045559756,35.56004388,NA,0.045559756,35.56004388,-2,2,1,8,mid-low/mid
Alosa immaculata,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,Mediterranean and Black Sea,NA,"nekton, zoobenthos",generalist,13,NA,temperate,45868.5,fusiform / normal,7,NA,NA,NA,188,NA,NA,NA,NA,90000,migratory,pelagic neritic,39,NA,984.1313685,0.989034626,3.98,VU,0.007079126,36.54466663,NA,0.007079126,36.54466663,-3,2,1,8,mid-low/mid
Alosa pseudoharengus,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,Atlantic,West,"nekton, plants, zoobenthos, zooplankton",generalist,8,NA,subtropical,127423.875,fusiform / normal,9,NA,NA,in close association with substrate,188,NA,NA,NA,NA,887500,habitat_coastal,pelagic neritic,40,NA,24511.5196,1.842742708,3.39,LC,0.060781818,29.96572933,5.484285714,0.060781818,5.484285714,-2,1,4,4,mid/low
Alosa sapidissima,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Atlantic, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,10,NA,subtropical,152067.25,fusiform / normal,13,NA,NA,planktonic,188,NA,NA,NA,NA,690000,pelagic oceanic,pelagic neritic,76,NA,4287.867606,1.012650669,3.48,LC,0.109367407,31.1198105,8.916666667,0.109367407,8.916666667,-1,1,4,4,mid/low
Amblygaster sirm,Amblygaster,Dorosomatinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"plants, zooplankton",generalist,NA,NA,tropical,7795,fusiform / normal,8,NA,NA,NA,188,NA,NA,NA,NA,9910000,habitat_coastal,reef-associated,27,NA,71364.80881,1.416628191,2.978123494,LC,0.001822796,46.50725303,NA,0.001822796,46.50725303,-3,2,1,8,mid-low/mid
Ammodytes personatus,Ammodytes,NA,Ammodytidae,Perciformes/Uranoscopoidei,Actinopteri,Osteichthyes,Pacific,Both,NA,NA,15,NA,subtropical,NA,elongated,3,NA,NA,planktonic,33,NA,NA,NA,NA,1835000,habitat_coastal,demersal,15,NA,2935070.704,0.344053886,3.1525,NA,0.001542446,49.7468625,NA,0.001542446,49.7468625,-3,2,1,8,mid-low/mid
Amphichthys cryptocentrus,Amphichthys,Batrachoidinae,Batrachoididae,Batrachoidiformes,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos",generalist,NA,NA,subtropical,NA,elongated,NA,NA,NA,NA,83,NA,NA,NA,NA,972500,sedentary,reef-associated,40,NA,3263.489613,0.57223899,3.75,LC,0.015967157,28.27429759,NA,0.015967157,28.27429759,-2,1,4,4,mid/low
Anarhichas denticulatus,Anarhichas,NA,Anarhichadidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Arctic Ocean, Atlantic",Both,"nekton, zoobenthos, zooplankton",generalist,4,NA,subtropical,NA,elongated,NA,NA,NA,NA,5,NA,NA,NA,NA,3635000,habitat_deep,benthopelagic,180,NA,25393.14083,0.100670808,4.052330035,NA,0.184868608,45.41195355,NA,0.184868608,45.41195355,-1,2,1,1,mid-high/mid
Anarhichas lupus,Anarhichas,NA,Anarhichadidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",Both,"nekton, others, zoobenthos, zooplankton",generalist,9,NA,subtropical,NA,elongated,NA,NA,NA,in close association with substrate,5,NA,NA,NA,NA,1955000,habitat_coastal,demersal,150,NA,81375.50792,0.104945385,3.55,NA,0.230165491,46.24625559,NA,0.230165491,46.24625559,-1,2,1,1,mid-high/mid
Anchoa nasus,Anchoa,Engraulinae,Engraulidae,Clupeiformes,Actinopteri,Osteichthyes,Pacific,East,NA,NA,NA,NA,subtropical,NA,elongated,NA,NA,NA,NA,155,NA,NA,NA,NA,865000,habitat_coastal,pelagic neritic,17,NA,7225.316677,1.296884333,3.33,LC,0.001187934,45.03604219,NA,0.001187934,45.03604219,-3,2,1,8,mid-low/mid
Anodontostoma chacunda,Anodontostoma,Dorosomatinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"detritus, plants, zoobenthos, zooplankton",generalist,28,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,188,NA,NA,NA,NA,8597500,habitat_coastal,pelagic neritic,22,NA,116060.5257,1.401207267,2.931418782,LC,0.001600792,48.0516869,NA,0.001600792,48.0516869,-3,2,1,8,mid-low/mid
Anoplopoma fimbria,Anoplopoma,NA,Anoplopomatidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,Pacific,Both,"nekton, zoobenthos, zooplankton",generalist,9,NA,subtropical,396530.75,fusiform / normal,94,39.06,5,planktonic,2,NA,NA,NA,NA,2682500,deep,bathydemersal,120,NA,951557.8095,0.035406384,3.84,NA,0.128925101,68.06949429,NA,0.128925101,68.06949429,-1,3,3,3,mid/mid-high
Antimora rostrata,Antimora,NA,Moridae,Gadiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, others, zoobenthos, zooplankton",generalist,27,NA,tropical,NA,elongated,NA,NA,NA,NA,108,NA,NA,NA,NA,222710000,deep,bathypelagic,75,NA,486.5318366,0.11723796,3.622647419,LC,2737.878572,59.05118314,NA,2737.878572,59.05118314,3,2,6,2,high/mid
Aphanopus carbo,Aphanopus,Aphanopodinae,Trichiuridae,Scombriformes,Actinopteri,Osteichthyes,"Atlantic, Pacific",Both,"nekton, zooplankton",generalist,10,NA,subtropical,NA,eel-like,NA,NA,NA,planktonic,46,"Juveniles mesopelagic (Ref. 6181).  Bathypelagic (Ref. 58426).  Migrate to midwater at night and feed on crustaceans, cephalopods and fishes (mostly macrourids, morids and alepocephalids).  Mature at 80 to 85 cm.  Eggs and larvae are pelagic (Ref. 6768). Data from study reveal mature individuals undertake horizontal migration to spawning and nursery grounds located off the Madeira and Canary islands (Ref. 108708).  Commercial catch up to 1000 t was caught off Madeira with a specialized commercial deep water longline (Ref. 6255).  Appear as bycatch in the trawl fishery west of the British Isles, along the Middle-Atlantic Ridge and at Corner Rise.  Important and fabled food fish in Madeira (Ref. 4537).  Some specimens reach 145 cm (Nuno Marques, Nomad@netmadeira.com, 12/09).",nocturnal,NA,NA,2627500,deep,bathypelagic,151,NA,84676.53886,0.346089063,4.463330799,NA,0.216494353,47.82132679,NA,0.216494353,47.82132679,-1,2,1,1,mid-high/mid
Aphareus rutilans,Aphareus,Etelinae,Lutjanidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,27,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,113,NA,NA,NA,NA,9965000,habitat_reef,reef-associated,110,NA,1738.87445,0.312215755,4.11771652,LC,0.073070087,39.02680102,NA,0.073070087,39.02680102,-2,2,1,8,mid-low/mid
Aphia minuta,Aphia,Gobiinae,Gobiidae,Gobiiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"zoobenthos, zooplankton",generalist,NA,NA,subtropical,856.5,elongated,1,NA,NA,planktonic,1983,NA,NA,NA,NA,2717500,habitat_coastal,pelagic neritic,7.900000095,NA,40.81806963,1.70140334,3.174282949,NA,0.001071937,36.33979585,NA,0.001071937,36.33979585,-3,2,1,8,mid-low/mid
Aplodactylus punctatus,Aplodactylus,NA,Aplodactylidae,Centrarchiformes,Actinopteri,Osteichthyes,Pacific,East,plants,specialist,NA,NA,subtropical,NA,elongated,NA,NA,NA,NA,5,NA,NA,NA,NA,240000,habitat_coastal,demersal,43.70000076,NA,41.96266255,0.630179269,2.04,NA,0.008586296,36.22505093,NA,0.008586296,36.22505093,-3,2,1,8,mid-low/mid
Aprion virescens,Aprion,Etelinae,Lutjanidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,tropical,NA,fusiform / normal,32,NA,NA,NA,113,NA,NA,NA,NA,12892500,habitat_reef,reef-associated,112,NA,113.3144342,0.58848637,4.28,LC,0.567199566,30.80563369,NA,0.567199566,30.80563369,-1,2,1,1,mid-high/mid
Apsilus fuscus,Apsilus,Apsilinae,Lutjanidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean",Both,"nekton, zoobenthos",generalist,NA,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,113,NA,NA,NA,NA,512500,habitat_reef,demersal,75,NA,3.139397329,0.591196273,4.005625412,LC,0.038019791,27.27816842,NA,0.038019791,27.27816842,-2,1,4,4,mid/low
Archosargus probatocephalus,Archosargus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,zoobenthos,specialist,25,NA,subtropical,NA,short and / or deep,NA,NA,NA,NA,162,NA,NA,NA,NA,2200000,habitat_reef,reef-associated,91,NA,6582.156033,0.609579594,3.575942787,LC,0.162062845,29.87434992,NA,0.162062845,29.87434992,-1,1,4,4,mid/low
Arctoscopus japonicus,Arctoscopus,NA,Trichodontidae,Perciformes/Uranoscopoidei,Actinopteri,Osteichthyes,Pacific,Both,"nekton, zoobenthos, zooplankton",generalist,5,NA,subtropical,550,fusiform / normal,6,NA,NA,planktonic,2,NA,NA,NA,NA,1677500,habitat_benthic,bathydemersal,30,NA,108251.2158,0.630179269,3.557260934,NA,0.001561982,49.22814017,NA,0.001561982,49.22814017,-3,2,1,8,mid-low/mid
Argentina silus,Argentina,NA,Argentinidae,Argentiniformes,Actinopteri,Osteichthyes,Atlantic,Both,"nekton, zoobenthos, zooplankton",generalist,7,NA,subtropical,NA,elongated,35,NA,NA,planktonic,28,NA,NA,NA,NA,2310000,pelagic oceanic,bathypelagic,70,NA,2785.434725,0.073400392,3.32,NA,0.077461104,53.94832547,NA,0.077461104,53.94832547,-2,2,1,8,mid-low/mid
Argentina sphyraena,Argentina,NA,Argentinidae,Argentiniformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos, zooplankton",generalist,16,NA,subtropical,NA,elongated,16,NA,NA,planktonic,28,NA,NA,NA,NA,2555000,pelagic oceanic,bathydemersal,35,NA,5669.679004,0.227703191,3.49,NA,0.002463457,33.27998698,NA,0.002463457,33.27998698,-3,2,1,8,mid-low/mid
Argyrops spinifer,Argyrops,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean",Both,"nekton, plants, zoobenthos, zooplankton",generalist,27,NA,tropical,596500,short and / or deep,NA,NA,NA,NA,162,NA,NA,NA,NA,13112500,habitat_coastal,demersal,70,NA,11308.83887,0.494486133,4.49,LC,0.81434561,32.64854032,NA,0.81434561,32.64854032,-1,2,1,1,mid-high/mid
Argyrosomus hololepidotus,Argyrosomus,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean",Both,"nekton, zoobenthos",generalist,24,11,tropical,NA,fusiform / normal,30,NA,NA,NA,293,"Found in lower reaches of rivers, estuaries, rocky reefs, ocean beaches and on the continental shelf down to 150 m (Ref. 9772).  Caught near the bottom and in mid-water.  Feed mainly at night or in turbid waters (Ref. 27121), preying on cuttlefish (Ref. 27121), fishes, crabs, prawns, and worms (Ref. 9772).",nocturnal,NA,NA,347500,habitat_coastal,demersal,200,NA,81983.30163,0.227953054,4.48,EN,0.041690961,39.22667388,NA,0.041690961,39.22667388,-2,2,1,8,mid-low/mid
Argyrosomus regius,Argyrosomus,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea",Both,"nekton, zoobenthos",generalist,18,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,293,NA,NA,NA,NA,1400000,migratory,benthopelagic,230,NA,35019.83379,0.149075294,4.285853196,LC,0.281488856,50.3067819,NA,0.281488856,50.3067819,-1,2,1,1,mid-high/mid
Arripis trutta,Arripis,NA,Arripidae,Scombriformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,15,NA,tropical,NA,fusiform / normal,26,NA,NA,planktonic,4,NA,NA,NA,NA,930000,habitat_coastal,pelagic neritic,89,NA,45063.22021,0.285831282,4.07,NA,0.107406858,41.8810772,NA,0.107406858,41.8810772,-1,2,1,1,mid-high/mid
Atheresthes evermanni,Atheresthes,Atheresthinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,Pacific,Both,"nekton, zoobenthos, zooplankton",generalist,5,NA,subtropical,NA,short and / or deep,33,NA,NA,planktonic,66,NA,NA,NA,NA,1745000,habitat_benthic,demersal,100,NA,47522.58494,0.172236506,4.3,NA,0.049485957,54.73702402,NA,0.049485957,54.73702402,-2,2,1,8,mid-low/mid
Atheresthes stomias,Atheresthes,Atheresthinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Arctic Ocean, Pacific",Both,"nekton, others, zoobenthos, zooplankton",generalist,7,NA,subtropical,1295000,short and / or deep,23,NA,NA,planktonic,66,NA,NA,NA,NA,1287500,habitat_benthic,demersal,84,NA,3356654.472,0.192836543,4.17,NA,0.06903522,53.2907325,NA,0.06903522,53.2907325,-2,2,1,8,mid-low/mid
Atherina boyeri,Atherina,Atherininae,Atherinidae,Atheriniformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"zoobenthos, zooplankton",generalist,11,NA,subtropical,2534.75,elongated,4,NA,NA,in close association with substrate,69,NA,NA,NA,NA,1385000,habitat_coastal,demersal,20,NA,5070.648817,0.812586347,3.286374067,LC,0.001358615,37.62859705,NA,0.001358615,37.62859705,-3,2,1,8,mid-low/mid
Atractoscion aequidens,Atractoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,nekton,specialist,25,NA,tropical,NA,fusiform / normal,NA,NA,NA,planktonic,293,"Found in coastal waters, over sand muddy bottom.  Juveniles enter estuaries.  Adults feed on pelagic fishes at night.  Often caught with <i>Umbrina canariensis</i>.  Feeds on pelagic fish such as mackerel and horse mackerel (Ref. 36731).  Marketed fresh, flesh highly esteemed (Ref. 9772).",nocturnal,NA,NA,4040000,habitat_coastal,benthopelagic,130,NA,2288.230401,0.311853212,4.482012652,VU,0.069540562,38.08580397,NA,0.069540562,38.08580397,-2,2,1,8,mid-low/mid
Atractoscion nobilis,Atractoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Pacific,East,"nekton, zoobenthos, zooplankton",generalist,12,NA,subtropical,NA,fusiform / normal,20,NA,NA,NA,293,NA,NA,NA,NA,522500,habitat_coastal,demersal,166,NA,1870.644824,0.296616436,4.332557971,LC,0.060499065,36.46230551,NA,0.060499065,36.46230551,-2,2,1,8,mid-low/mid
Atrobucca nibe,Atrobucca,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,28,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,293,NA,NA,NA,NA,9827500,habitat_coastal,demersal,45,NA,25016.42764,0.460821512,3.977602624,NA,0.131831752,27.85452849,NA,0.131831752,27.85452849,-1,1,4,4,mid/low
Atule mate,Atule,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,27,NA,tropical,49000,fusiform / normal,NA,NA,NA,planktonic,148,"Adults inhabit mangroves and coastal bays in pelagic waters (Ref. 58302). They form schools to about 50 m in inshore waters (Ref. 9894), or singly (Ref. 48635). Are mainly diurnal. They feed mainly on crustaceans and planktonic invertebrates such as copepods, including cephalopods (Ref. 5213, 90102). They swim fast in midwater in pursuit of zooplankton (Ref. 48635).",diurnal,NA,NA,11757500,habitat_reef,reef-associated,30,NA,1356.375346,1.254655656,4.22,LC,0.00901695,43.36994665,NA,0.00901695,43.36994665,-3,2,1,8,mid-low/mid
Austroglossus microlepis,Austroglossus,NA,Soleidae,Pleuronectiformes,Actinopteri,Osteichthyes,Atlantic,East,"nekton, zoobenthos",generalist,17,NA,subtropical,NA,short and / or deep,NA,NA,NA,NA,185,NA,NA,NA,NA,307500,habitat_benthic,bathydemersal,75,NA,11375.11571,0.185580881,3.529238154,DD,0.017644516,53.50886061,NA,0.017644516,53.50886061,-2,2,1,8,mid-low/mid
Austroglossus pectoralis,Austroglossus,NA,Soleidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean",Both,"nekton, zoobenthos",generalist,21,NA,tropical,NA,short and / or deep,NA,NA,NA,NA,185,NA,NA,NA,NA,172500,habitat_benthic,demersal,60,NA,9694.211567,0.267643426,4.042989109,NA,0.010732274,53.00643939,NA,0.010732274,53.00643939,-2,2,1,8,mid-low/mid
Auxis thazard,Auxis,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,27,0.8999996185302983,tropical,430000,fusiform / normal,5,NA,NA,planktonic,54,NA,NA,NA,NA,24452500,pelagic oceanic,pelagic neritic,65,NA,1188784.853,0.704484871,4.37,NA,0.94085586,23.71398908,10,0.94085586,10,-1,1,4,4,mid/low
Balistes capriscus,Balistes,NA,Balistidae,Tetraodontiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea, Pacific",Both,zoobenthos,specialist,24,NA,subtropical,NA,short and / or deep,NA,94.83333333333333,17.766666666666666,NA,42,NA,NA,0.001307,13,5260000,habitat_reef,reef-associated,60,grey triggerfish,459.8551277,0.824568385,4.06,VU,0.027174268,34.49780138,NA,0.001307,34.49780138,-3,2,1,8,mid-low/mid
Belone belone,Belone,NA,Belonidae,Beloniformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,nekton,specialist,16,NA,subtropical,15044,elongated,NA,NA,NA,planktonic,47,NA,NA,NA,NA,2555000,pelagic oceanic,pelagic oceanic,104,NA,26192.69803,0.478994871,4.16,LC,0.168957285,28.82918244,NA,0.168957285,28.82918244,-1,1,4,4,mid/low
Brachydeuterus auritus,Brachydeuterus,Haemulinae,Haemulidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,East,"detritus, nekton, plants, zooplankton",generalist,25,NA,subtropical,NA,fusiform / normal,7,NA,NA,NA,133,NA,NA,NA,NA,650000,habitat_coastal,benthopelagic,30,NA,70828.46313,0.674190072,3.108896464,NT,0.00144138,37.21221915,NA,0.00144138,37.21221915,-3,2,1,8,mid-low/mid
Brosme brosme,Brosme,NA,Lotidae,Gadiformes,Actinopteri,Osteichthyes,Atlantic,Both,"nekton, zoobenthos",generalist,10,NA,subtropical,500000,elongated,20,NA,NA,planktonic,5,NA,NA,NA,NA,2245000,habitat_benthic,demersal,120,NA,449997.8369,0.105232173,3.9,NA,0.123028549,59.60763704,NA,0.123028549,59.60763704,-1,2,1,1,mid-high/mid
Brotula barbata,Brotula,Brotulinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,Atlantic,Both,NA,NA,26,NA,subtropical,NA,elongated,NA,NA,NA,NA,269,NA,NA,NA,NA,3760000,habitat_benthic,reef-associated,94,NA,22829.30435,0.276427346,3.67,LC,0.210266421,56.0101106,NA,0.210266421,56.0101106,-1,2,1,1,mid-high/mid
Beryx decadactylus,Beryx,NA,Berycidae,Beryciformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,24,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,10,NA,NA,NA,NA,19952500,habitat_deep,bathydemersal,100,NA,10665.2007,0.158706812,4.136398373,LC,0.725687529,36.48172493,NA,0.725687529,36.48172493,-1,2,1,1,mid-high/mid
Beryx splendens,Beryx,NA,Berycidae,Beryciformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,27,NA,tropical,202500,fusiform / normal,23,NA,NA,planktonic,10,NA,NA,NA,NA,17805000,habitat_deep,benthopelagic,70,NA,11085.67752,0.241932168,4.27,LC,0.731922506,35.84925657,NA,0.731922506,35.84925657,-1,2,1,1,mid-high/mid
